Identifier,Latitude,Longitude
VLI18,S017.36.06.580,E026.02.40.250
VLS08,S015.37.50.001,E028.43.00.998
VLS25,S015.04.10.379,E028.45.10.378
VLS68,S016.21.51.839,E027.56.21.350
VLS82,S015.59.08.610,E027.10.57.219
WB09F,S023.00.19.929,E014.33.36.838
WB09I,S023.01.52.870,E014.28.27.530
WB27F,S022.57.04.719,E014.44.25.418
WB27I,S022.55.31.620,E014.49.34.499
WB2F1,S025.39.21.949,E028.17.10.539
WB2M1,S025.34.12.741,E028.17.28.219
WB2T1,S025.39.35.409,E028.22.42.380
WBM01,S022.58.07.359,E014.40.57.748
WBM02,S022.59.24.421,E014.36.41.569
WH08A,S022.32.53.880,E017.19.20.881
WH08I,S022.34.49.378,E017.15.10.130
WH08S,S022.30.29.980,E017.24.33.339
WH26F,S022.24.51.141,E017.36.48.038
WHD08,S022.27.00.500,E017.32.07.778
WHD26,S022.32.05.078,E017.21.06.260
WHM01,S022.28.24.268,E017.29.06.090
XABAK,S022.02.36.999,E032.48.52.999
XABDO,S031.32.46.190,E026.30.47.811
XABEB,S022.41.59.999,E018.20.35.001
XABIS,S034.17.14.470,E024.42.20.941
XABLO,S021.25.23.001,E021.00.01.000
XABUS,S022.39.48.571,E017.15.46.040
XADAK,S015.40.28.138,E035.03.59.018
XADEP,S016.03.42.800,E028.33.03.898
XADIK,S025.09.13.179,E033.44.54.841
XADIS,S015.40.07.319,E035.15.56.779
XADKO,S015.35.05.899,E028.20.54.898
XADOT,S015.47.34.760,E034.35.00.239
XADUP,S031.00.48.499,E027.56.13.138
XAGEN,S026.03.44.920,E027.19.04.079
XAGLO,S015.40.17.619,E035.09.43.801
XAGOR,S025.44.04.999,E032.41.09.999
XAGOT,S025.49.21.000,E032.37.57.000
XAGRI,S026.08.02.929,E032.34.08.241
XAGVA,S025.38.48.998,E032.44.21.998
XAKAL,S025.41.11.000,E032.35.21.001
XAKAS,S025.46.59.998,E032.46.59.001
XAKIM,S033.26.22.649,E026.47.47.860
XAKMO,S028.18.31.658,E016.26.54.790
XALEN,S020.50.14.999,E026.18.43.999
XALIN,S033.43.08.691,E022.52.01.480
XALVA,S032.22.28.311,E019.34.00.220
XALVI,S022.58.55.588,E014.38.40.480
XAMGA,S023.10.05.278,E020.00.14.619
XAMTA,S034.15.02.249,E024.59.45.578
XANBI,S025.00.30.369,E019.03.54.428
XANDA,S033.08.59.078,E022.56.23.031
XANRA,S017.34.47.999,E025.37.12.000
XANRO,S026.25.07.089,E026.52.33.549
XANTO,S017.44.24.601,E026.13.53.601
XAPGO,S019.27.13.708,E022.21.44.139
XARMA,S024.43.31.609,E030.03.28.119
XARPO,S015.56.15.550,E034.41.00.420
XARSA,S034.08.57.098,E023.09.21.351
XARSI,S017.58.00.001,E029.53.59.999
XARVI,S032.41.25.159,E026.26.36.171
XATNU,S024.36.42.991,E030.11.31.768
XAVMU,S030.32.28.701,E018.17.04.200
XAVRO,S017.45.09.000,E030.55.20.999
XORAK,S023.51.11.239,E020.00.10.249
XORER,S028.17.35.221,E028.10.37.239
XORIN,S017.28.00.001,E024.22.00.001
XOSIV,S018.02.49.999,E026.39.24.001
XOTEK,S023.24.59.068,E017.10.17.961
XOTEX,S015.23.11.731,E035.06.00.230
XOTID,S026.10.24.160,E032.25.04.501
XOTIX,S025.59.52.299,E032.31.31.699
XOTON,S018.35.26.001,E026.47.48.998
XOTOP,S027.59.48.659,E027.38.06.529
XOTOT,S026.05.08.260,E032.28.18.220
XOXEG,S015.19.15.898,E028.20.39.098
XOXOR,S032.50.08.368,E025.59.39.919
XUBOG,S018.06.27.000,E030.34.18.998
XUBOS,S015.22.59.880,E034.44.33.248
XUDAN,S027.30.41.209,E016.10.06.650
XUDOG,S021.31.28.999,E017.17.26.001
XUGER,S015.06.22.798,E028.27.37.699
XUGIL,S015.15.28.000,E028.51.32.500
XUGOL,S034.10.34.129,E020.11.27.589
XUGUV,S027.16.13.429,E024.02.33.269
XUKAT,S015.05.59.999,E028.16.11.999
