Identifier,Latitude,Longitude
DUNRU,S017.57.21.999,E019.43.14.001
DUNSA,S030.14.06.709,E030.29.14.708
DUNVI,S031.27.24.361,E028.26.27.841
DUNVU,S015.44.29.101,E028.18.55.400
DUPKI,S021.43.00.598,E021.00.00.500
DUPTA,S023.04.35.360,E022.54.55.101
DURKI,S033.50.03.861,E025.54.25.959
DURMO,S015.35.35.998,E038.51.11.998
DURTO,S016.47.17.998,E026.19.41.998
DUSKO,S025.10.28.739,E031.24.01.699
DUSLI,S024.58.24.301,E026.39.01.699
DUSRO,S024.44.42.748,E025.51.53.589
DUSRU,S025.11.57.998,E032.58.51.999
DUSVA,S019.25.15.999,E027.00.47.001
DUTGI,S025.17.43.771,E032.01.25.258
DUTPU,S024.29.36.038,E017.48.05.101
DUTRI,S021.15.16.441,E027.38.26.761
DUVDU,S017.59.39.598,E025.56.34.000
DUVLO,S018.51.38.001,E028.34.14.001
DUVPI,S027.59.12.051,E028.31.17.439
EGLIK,S022.51.09.068,E017.17.13.671
EGLOD,S015.34.16.291,E035.09.31.950
EGLUG,S023.46.14.869,E035.13.58.951
EGLUK,S019.44.45.920,E034.42.31.719
EGLUT,S031.37.24.880,E028.52.53.220
EGMAB,S034.01.38.100,E023.30.09.529
EGMAD,S021.55.59.998,E040.00.00.000
EGMAR,S017.17.23.999,E038.37.18.001
EGMAS,S022.59.47.230,E018.10.07.550
EGMEN,S025.38.45.740,E028.58.05.530
EGMEP,S034.07.31.918,E021.47.26.829
EGMIR,S020.40.28.999,E023.53.53.998
EGMOK,S017.09.14.000,E029.33.33.998
EGMUM,S019.34.02.999,E026.35.53.998
EGNES,S021.34.47.629,E024.58.50.930
EGNIS,S015.40.05.001,E028.12.27.900
EGNOM,S030.54.03.369,E022.26.35.249
EGNUN,S025.23.15.518,E031.51.01.119
EGPAD,S020.06.06.001,E018.28.54.001
EGPAL,S015.20.25.900,E028.33.46.000
EGPEB,S031.31.05.699,E028.57.43.081
EGPID,S029.16.25.798,E026.11.12.580
EGPON,S024.30.17.999,E032.45.29.998
EGPOP,S026.16.53.968,E027.30.39.441
EGPOR,S017.17.20.000,E020.58.40.000
EGRAL,S033.06.38.379,E028.02.38.101
EGRAP,S027.50.37.510,E014.01.36.969
EGRED,S023.29.30.818,E017.38.14.809
EGRIK,S021.18.55.490,E025.05.31.189
EGRIX,S021.05.11.371,E014.00.42.778
EGROS,S023.54.43.189,E022.47.08.440
EGRUP,S031.10.05.948,E023.15.39.780
EGSAN,S028.00.10.720,E027.08.35.761
EGSEP,S021.22.05.649,E027.26.59.920
EGSID,S015.51.20.401,E035.12.22.798
EGSOD,S024.21.38.098,E025.59.21.951
EGSOX,S028.23.31.941,E034.41.31.380
EGSUS,S017.53.51.601,E025.37.43.500
EGTAP,S030.46.16.629,E026.49.03.410
EGTAR,S028.07.38.168,E018.21.05.079
EGTIG,S019.44.38.101,E021.52.35.929
EGTIL,S031.02.23.290,E022.51.55.479
EGTIM,S033.09.37.709,E025.41.25.958
EGTOD,S022.08.31.628,E035.28.13.501
EGVEM,S017.52.36.321,E015.44.40.531
EGVOK,S017.40.00.001,E025.58.36.001
EGVOL,S034.02.48.998,E031.01.45.998
EKBAP,S023.31.00.951,E028.06.57.938
EKBES,S018.00.47.998,E025.35.41.999
EKBEV,S034.11.59.758,E018.31.58.069
EKBEX,S028.00.39.099,E025.47.23.960
EKBIS,S015.39.44.600,E028.42.48.499
EKBIT,S015.43.05.001,E026.37.59.001
EKBOL,S020.22.20.341,E018.53.45.718
EKBON,S028.18.34.941,E017.37.06.301
EKBOT,S024.16.04.850,E022.43.48.910
EKBOX,S034.54.46.090,E025.07.41.541
EKBUG,S017.13.54.001,E026.26.53.998
EKEOT,S023.22.23.998,E032.52.59.998
EL1F1,S033.02.53.800,E027.43.06.239
EL1M1,S033.01.05.869,E027.58.05.800
EL1M2,S033.11.06.770,E027.59.49.171
EL1MP,S033.02.13.959,E027.48.42.919
EL1T1,S033.03.35.341,E027.37.12.741
EL2F1,S033.01.23.739,E027.55.44.209
EL2M1,S033.03.11.761,E027.40.33.679
EL2M2,S033.13.43.219,E027.42.18.579
EL2MP,S033.02.05.168,E027.49.56.909
EL2T1,S033.00.41.320,E028.01.37.419
ELAND,S026.09.43.689,E031.43.01.289
ENAKU,S016.42.46.000,E032.49.12.000
ENORA,S017.10.00.001,E033.32.12.001
ENULO,S029.52.29.229,E030.53.22.099
EPLOK,S020.58.24.841,E027.22.47.560
EPMAG,S017.34.47.999,E023.40.47.999
EPMAK,S036.58.12.619,E024.05.31.840
EPMAX,S024.49.50.160,E023.36.08.999
EPMED,S019.12.53.999,E022.42.36.000
EPMER,S032.27.42.580,E024.34.57.561
EPMON,S024.54.58.971,E022.37.42.668
EPNAB,S019.46.18.998,E034.48.39.999
EPNAK,S030.28.56.279,E030.11.35.329
EPNAV,S019.29.42.000,E035.11.12.001
EPNEG,S027.45.53.110,E029.34.39.450
EPNET,S037.00.33.998,E023.59.03.998
EPNIV,S019.12.29.998,E034.37.23.998
EPNOM,S015.59.05.999,E036.12.00.000
EPNON,S017.52.41.998,E020.18.06.001
EPRAL,S018.40.06.960,E022.48.20.159
EPRET,S026.51.31.860,E032.25.46.718
EPRIS,S023.57.00.478,E018.24.32.659
EPROS,S024.41.21.001,E033.26.06.000
EPROT,S017.48.47.901,E024.57.20.901
EPRUP,S023.55.35.360,E029.15.04.928
EPSAG,S024.26.39.908,E017.20.01.251
EPSAK,S027.11.54.981,E029.09.41.518
EPSAM,S020.27.41.040,E023.59.03.840
EPSEG,S019.31.40.079,E026.10.05.159
EPSEK,S023.27.15.001,E031.33.45.000
EPSOB,S021.53.03.998,E027.05.36.999
EPTAR,S018.03.54.000,E021.43.11.989
EPTOT,S028.38.03.091,E027.23.43.090
EPTUV,S016.10.30.291,E033.33.07.408
EPVUV,S033.49.03.309,E026.13.20.420
ERBAR,S021.23.12.001,E035.38.17.998
ERBIL,S021.43.17.860,E017.05.13.088
ERDAS,S033.24.50.101,E019.11.12.850
ERDES,S022.36.27.000,E017.04.45.001
ERDET,S019.43.11.999,E034.36.23.000
ERDIL,S019.30.47.998,E034.13.47.999
EROPA,S022.29.48.001,E040.00.00.000
ESPOG,S033.11.04.750,E026.50.46.658
ESPOK,S015.58.59.998,E030.49.23.998
ESPOP,S015.00.00.000,E033.16.00.001
ESPUV,S025.49.45.361,E024.42.55.799
ESRAK,S016.29.05.999,E038.30.00.000
ESRAS,S025.53.45.999,E031.09.14.018
ESRAV,S022.53.48.001,E032.56.12.001
ESREP,S019.48.09.899,E023.33.45.518
ESRET,S029.16.39.658,E033.08.05.460
ESRIM,S017.53.10.618,E024.59.04.311
ESRON,S018.37.10.999,E030.12.25.999
ESROP,S024.36.47.790,E026.07.49.699
ESRUK,S033.58.10.480,E019.48.26.841
ESRUM,S025.54.39.718,E031.43.30.381
ESTAK,S016.51.00.000,E028.00.00.000
ESTAM,S028.08.49.030,E014.25.15.430
ESTAX,S022.39.25.351,E015.03.24.569
ESTED,S026.45.32.140,E027.35.15.759
ESTEX,S029.23.56.259,E030.25.04.810
ESTOB,S019.00.06.001,E037.03.06.001
ESTOV,S021.01.05.998,E016.37.59.998
ESTUB,S031.34.16.139,E028.22.53.198
ESTUD,S019.14.23.999,E036.54.47.998
ESVAB,S017.59.14.989,E015.42.03.830
ESVAT,S025.12.50.000,E032.50.29.000
ESVAX,S032.26.02.428,E024.00.06.710
ESVEB,S019.39.11.998,E035.56.23.999
ESVEV,S025.59.13.020,E030.36.19.180
ESVIP,S018.25.24.999,E036.33.51.001
ESVIR,S028.05.18.538,E030.49.43.748
ESVON,S024.41.34.429,E025.38.21.620
ETBAB,S028.59.25.749,E024.52.46.790
ETBED,S024.31.48.000,E024.38.59.999
ETBER,S020.08.35.998,E035.41.23.999
ETBEX,S020.24.02.091,E022.26.11.241
ETBIN,S032.12.31.240,E027.41.45.211
ETBIR,S026.22.56.931,E017.38.45.308
ETBOL,S021.19.36.001,E038.29.17.998
ETBOM,S015.31.24.999,E027.34.55.999
ETBOR,S037.00.05.000,E027.42.42.001
ETBUL,S033.59.56.490,E021.22.24.139
ETBUX,S025.54.23.799,E026.15.58.078
ETGAV,S025.57.22.780,E028.27.26.269
ETGAX,S033.45.24.051,E022.22.20.038
